# Utils,,,,,
Cleanmanagerplus,,https://github.com/builtbybel/CleanmgrPlus,https://github.com/builtbybel/CleanmgrPlus/releases/latest,,A Improved Replacement for Microsoft Disk Cleanup
Device Cleanup Tool,,https://www.uwe-sieber.de/misc_tools_e.html,https://www.majorgeeks.com/files/details/device_cleanup_tool.html,,portable tool that lists all non-present devices and then allows for easy removal.
ExplorerPatcher,,https://github.com/valinet/ExplorerPatcher,https://github.com/valinet/ExplorerPatcher/releases/latest,,"enhance the working environment on Windows(customize start button,taskbar etc.)"
Glary Utilities 6,Glarysoft.GlaryUtilities,https://www.glarysoft.com/,,,"Free,Powerful and All-in-one utility for cleaning your PC"
KDE Connect,KDE.KDEConnect,https://kdeconnect.kde.org/,,https://github.com/KDE/kdeconnect-kde,Multi-platform app that allows your devices to communicate
Process Hacker,,https://processhacker.sourceforge.io/,,https://sourceforge.net/projects/processhacker/," monitor system resources, debug software and detect malware."
Registry Changes Viewer,,https://www.nirsoft.net/utils/registry_changes_view.html,,, take a snapshot of Windows Registry and later compare it.
Sandboxie Plus,,https://sandboxie-plus.com/,,https://github.com/sandboxie-plus/Sandboxie, a sandbox-based isolation software for 32-bit and 64-bit Windows NT-based operating systems.
System Informer,,https://systeminformer.sourceforge.io/,,https://github.com/winsiderss/systeminformer/,"monitor system resources, debug software and detect malware."
TightVNC,GlavSoft.TightVNC,https://www.tightvnc.com/,,,"Free, Lightweight, Fast and ReliableRemote Desktop Software"
Ventoy,,https://www.ventoy.net/,,https://github.com/ventoy/Ventoy,A new bootable USB solution.
VirtualBox,Oracle.VirtualBox,https://www.virtualbox.org/,,,a x86 and AMD64/Intel64 virtualization product
